District,Zone,Geographical Region,Development Region,Project_title,Sector,Amount_thousandsNPR
Palpa,Lumbini,Hill,Western,Integrated Water Resource Management Project,Farm and Food Security,2185
Palpa,Lumbini,Hill,Western,Soil Test Service Program,Farm and Food Security,1325
Palpa,Lumbini,Hill,Western,Fishery Development Program,Farm and Food Security,510
Palpa,Lumbini,Hill,Western,Crop Development Program,Farm and Food Security,1108
Palpa,Lumbini,Hill,Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,2780
Palpa,Lumbini,Hill,Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,7781
Palpa,Lumbini,Hill,Western,Horiculture Development Program,Farm and Food Security,18008
Palpa,Lumbini,Hill,Western,Livestock Service Extension Program,Farm and Food Security,15944
Palpa,Lumbini,Hill,Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,1100
Palpa,Lumbini,Hill,Western,Community Livestock Development Project,Farm and Food Security,3368
Palpa,Lumbini,Hill,Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,829
Palpa,Lumbini,Hill,Western,Veterinary Health Service Program,Farm and Food Security,573
Panchthar,Mechi,Hill,Eastern,Non-formal Education & National Literacy Campaign,Education,2124.48
Panchthar,Mechi,Hill,Eastern,School Sector Reform Program,Education,243581
Panchthar,Mechi,Hill,Eastern,Integrated District Health Program,"Health, Nutrition and Population",77890
Panchthar,Mechi,Hill,Eastern,Tuberculosis Control,"Health, Nutrition and Population",1795
Panchthar,Mechi,Hill,Eastern,Ayurveda Service Program,"Health, Nutrition and Population",2835
Panchthar,Mechi,Hill,Eastern,National Health Education Information & Communication Service,"Health, Nutrition and Population",3900
Panchthar,Mechi,Hill,Eastern,National Training Program,"Health, Nutrition and Population",150
Panchthar,Mechi,Hill,Eastern,National Forest Development & Management Program,Forest and Land Conservation,3080
Panchthar,Mechi,Hill,Eastern,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,2634.4
Panchthar,Mechi,Hill,Eastern,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2145
Panchthar,Mechi,Hill,Eastern,District Soil Erosion Program,Forest and Land Conservation,9134
Panchthar,Mechi,Hill,Eastern,Agricultural Extension Program,Farm and Food Security,17700
Panchthar,Mechi,Hill,Eastern,Soil Test Service Program,Farm and Food Security,1325
Panchthar,Mechi,Hill,Eastern,Crop Development Program,Farm and Food Security,888
Panchthar,Mechi,Hill,Eastern,"Potato, Vegetable & Spices Development Program",Farm and Food Security,2970
Panchthar,Mechi,Hill,Eastern,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,5642
Panchthar,Mechi,Hill,Eastern,Crop Protection and Pesticide Development,Farm and Food Security,140
Panchthar,Mechi,Hill,Eastern,Livestock Service Extension Program,Farm and Food Security,15565
Panchthar,Mechi,Hill,Eastern,Livestock and Bird's Market Promotion Program,Farm and Food Security,1000
Panchthar,Mechi,Hill,Eastern,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,426
Panchthar,Mechi,Hill,Eastern,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,858
Panchthar,Mechi,Hill,Eastern,Veterinary Health Service Program,Farm and Food Security,525
Parbat,Dhawalagiri,Hill,Western,Non-formal Education & National Literacy Campaign,Education,2134.79
Parbat,Dhawalagiri,Hill,Western,School Sector Reform Program,Education,142956
Parbat,Dhawalagiri,Hill,Western,Integrated District Health Program,"Health, Nutrition and Population",90220
Parbat,Dhawalagiri,Hill,Western,Tuberculosis Control,"Health, Nutrition and Population",1779
Parbat,Dhawalagiri,Hill,Western,Ayurveda Service Program,"Health, Nutrition and Population",2835
Parbat,Dhawalagiri,Hill,Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",5900
Parbat,Dhawalagiri,Hill,Western,National Training Program,"Health, Nutrition and Population",150
Parbat,Dhawalagiri,Hill,Western,National Forest Development & Management Program,Forest and Land Conservation,2865
Parbat,Dhawalagiri,Hill,Western,Multi Stakeholders Forestry Program,Forest and Land Conservation,10380
Parbat,Dhawalagiri,Hill,Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,513
Parbat,Dhawalagiri,Hill,Western,District Soil Erosion Program,Forest and Land Conservation,7048
Parbat,Dhawalagiri,Hill,Western,Community Development and Forest-Watershed Protection Project,Forest and Land Conservation,7807
Parbat,Dhawalagiri,Hill,Western,Agricultural Extension Program,Farm and Food Security,18700
Parbat,Dhawalagiri,Hill,Western,Integrated Water Resource Management Project,Farm and Food Security,1092
Parbat,Dhawalagiri,Hill,Western,Soil Test Service Program,Farm and Food Security,1325
Parbat,Dhawalagiri,Hill,Western,Fishery Development Program,Farm and Food Security,990
Parbat,Dhawalagiri,Hill,Western,Crop Development Program,Farm and Food Security,1281
Parbat,Dhawalagiri,Hill,Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,1305
Parbat,Dhawalagiri,Hill,Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,6420
Parbat,Dhawalagiri,Hill,Western,Horiculture Development Program,Farm and Food Security,5455
Parbat,Dhawalagiri,Hill,Western,Livestock Service Extension Program,Farm and Food Security,17312
Parbat,Dhawalagiri,Hill,Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,2100
Parbat,Dhawalagiri,Hill,Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,570
Parbat,Dhawalagiri,Hill,Western,Veterinary Health Service Program,Farm and Food Security,291
Parsa,Narayani,Terai,Central,Non-formal Education & National Literacy Campaign,Education,15719.53
Parsa,Narayani,Terai,Central,School Sector Reform Program,Education,217694
Parsa,Narayani,Terai,Central,Integrated District Health Program,"Health, Nutrition and Population",142399
Parsa,Narayani,Terai,Central,Tuberculosis Control,"Health, Nutrition and Population",2290
Parsa,Narayani,Terai,Central,Ayurveda Service Program,"Health, Nutrition and Population",2865
Parsa,Narayani,Terai,Central,National Health Education Information & Communication Service,"Health, Nutrition and Population",5600
Parsa,Narayani,Terai,Central,National Training Program,"Health, Nutrition and Population",150
Parsa,Narayani,Terai,Central,National Forest Development & Management Program,Forest and Land Conservation,5105
Parsa,Narayani,Terai,Central,Strengthening Regional Co-Operation for Wildlife Protection Project,Forest and Land Conservation,8703
Parsa,Narayani,Terai,Central,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,1250
Parsa,Narayani,Terai,Central,Wildlife Conservation Program,Forest and Land Conservation,28492
Parsa,Narayani,Terai,Central,Agricultural Extension Program,Farm and Food Security,20200
Parsa,Narayani,Terai,Central,Integrated Water Resource Management Project,Farm and Food Security,1177
Parsa,Narayani,Terai,Central,Fishery Development Program,Farm and Food Security,3066
Parsa,Narayani,Terai,Central,Crop Development Program,Farm and Food Security,888
Parsa,Narayani,Terai,Central,"Potato, Vegetable & Spices Development Program",Farm and Food Security,2695
Parsa,Narayani,Terai,Central,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,4262
Parsa,Narayani,Terai,Central,Crop Protection and Pesticide Development,Farm and Food Security,6006
Parsa,Narayani,Terai,Central,Livestock Service Extension Program,Farm and Food Security,17143
Parsa,Narayani,Terai,Central,Livestock and Bird's Market Promotion Program,Farm and Food Security,1950
Parsa,Narayani,Terai,Central,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,1015
Parsa,Narayani,Terai,Central,Veterinary Health Service Program,Farm and Food Security,7652
Parsa,Narayani,Terai,Central,Food Nutrition and Technology Program,Farm and Food Security,3468
Pyuthan,Rapti,Hill,Mid-Western,Non-formal Education & National Literacy Campaign,Education,13964.36
Pyuthan,Rapti,Hill,Mid-Western,School Sector Reform Program,Education,170380
Pyuthan,Rapti,Hill,Mid-Western,Integrated District Health Program,"Health, Nutrition and Population",74494.9
Pyuthan,Rapti,Hill,Mid-Western,Tuberculosis Control,"Health, Nutrition and Population",2004
Pyuthan,Rapti,Hill,Mid-Western,Ayurveda Service Program,"Health, Nutrition and Population",2665
Pyuthan,Rapti,Hill,Mid-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",4000
Pyuthan,Rapti,Hill,Mid-Western,National Training Program,"Health, Nutrition and Population",140
Pyuthan,Rapti,Hill,Mid-Western,National Forest Development & Management Program,Forest and Land Conservation,4630
Pyuthan,Rapti,Hill,Mid-Western,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,2366.55
Pyuthan,Rapti,Hill,Mid-Western,Multi Stakeholders Forestry Program,Forest and Land Conservation,8874
Pyuthan,Rapti,Hill,Mid-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,320
Pyuthan,Rapti,Hill,Mid-Western,District Soil Erosion Program,Forest and Land Conservation,9834
Pyuthan,Rapti,Hill,Mid-Western,Agricultural Extension Program,Farm and Food Security,20000
Pyuthan,Rapti,Hill,Mid-Western,Integrated Water Resource Management Project,Farm and Food Security,1417
Pyuthan,Rapti,Hill,Mid-Western,Soil Test Service Program,Farm and Food Security,1325
Pyuthan,Rapti,Hill,Mid-Western,Fishery Development Program,Farm and Food Security,1184
Pyuthan,Rapti,Hill,Mid-Western,Crop Development Program,Farm and Food Security,1647
Pyuthan,Rapti,Hill,Mid-Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,2765
Pyuthan,Rapti,Hill,Mid-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,4806
Pyuthan,Rapti,Hill,Mid-Western,Livestock Service Extension Program,Farm and Food Security,19435
Pyuthan,Rapti,Hill,Mid-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,600
Pyuthan,Rapti,Hill,Mid-Western,Community Livestock Development Project,Farm and Food Security,2260
Pyuthan,Rapti,Hill,Mid-Western,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,993
Pyuthan,Rapti,Hill,Mid-Western,Veterinary Health Service Program,Farm and Food Security,243
Ramechhap,Janakpur,Hill,Central,Non-formal Education & National Literacy Campaign,Education,18251.24
Ramechhap,Janakpur,Hill,Central,School Sector Reform Program,Education,201792
Ramechhap,Janakpur,Hill,Central,Integrated District Health Program,"Health, Nutrition and Population",106686.9
Ramechhap,Janakpur,Hill,Central,Tuberculosis Control,"Health, Nutrition and Population",1988
Ramechhap,Janakpur,Hill,Central,Ayurveda Service Program,"Health, Nutrition and Population",2835
Ramechhap,Janakpur,Hill,Central,National Health Education Information & Communication Service,"Health, Nutrition and Population",4200
Ramechhap,Janakpur,Hill,Central,National Training Program,"Health, Nutrition and Population",150
Ramechhap,Janakpur,Hill,Central,National Forest Development & Management Program,Forest and Land Conservation,2820
Ramechhap,Janakpur,Hill,Central,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,2769
Ramechhap,Janakpur,Hill,Central,Multi Stakeholders Forestry Program,Forest and Land Conservation,14996
Ramechhap,Janakpur,Hill,Central,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,625
Ramechhap,Janakpur,Hill,Central,District Soil Erosion Program,Forest and Land Conservation,9389
Ramechhap,Janakpur,Hill,Central,Agricultural Extension Program,Farm and Food Security,19600
Ramechhap,Janakpur,Hill,Central,Soil Test Service Program,Farm and Food Security,1325
Ramechhap,Janakpur,Hill,Central,Crop Development Program,Farm and Food Security,1108
Ramechhap,Janakpur,Hill,Central,"Potato, Vegetable & Spices Development Program",Farm and Food Security,2038
Ramechhap,Janakpur,Hill,Central,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,7623
Ramechhap,Janakpur,Hill,Central,Horiculture Development Program,Farm and Food Security,191
Ramechhap,Janakpur,Hill,Central,Livestock Service Extension Program,Farm and Food Security,15167
Ramechhap,Janakpur,Hill,Central,Livestock and Bird's Market Promotion Program,Farm and Food Security,1300
Ramechhap,Janakpur,Hill,Central,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,5574
Ramechhap,Janakpur,Hill,Central,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,1440
Ramechhap,Janakpur,Hill,Central,Veterinary Health Service Program,Farm and Food Security,373
Rasuwa,Bagmati,Mountain,Central,Non-formal Education & National Literacy Campaign,Education,1488.61
Rasuwa,Bagmati,Mountain,Central,School Sector Reform Program,Education,49312
Rasuwa,Bagmati,Mountain,Central,Integrated District Health Program,"Health, Nutrition and Population",68118.9
Rasuwa,Bagmati,Mountain,Central,Tuberculosis Control,"Health, Nutrition and Population",1698
Rasuwa,Bagmati,Mountain,Central,Ayurveda Service Program,"Health, Nutrition and Population",10370
Rasuwa,Bagmati,Mountain,Central,National Health Education Information & Communication Service,"Health, Nutrition and Population",3325
Rasuwa,Bagmati,Mountain,Central,National Training Program,"Health, Nutrition and Population",150
Rasuwa,Bagmati,Mountain,Central,National Forest Development & Management Program,Forest and Land Conservation,2870
Rasuwa,Bagmati,Mountain,Central,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,1764
Rasuwa,Bagmati,Mountain,Central,District Soil Erosion Program,Forest and Land Conservation,9945
Rasuwa,Bagmati,Mountain,Central,Wildlife Conservation Project,Forest and Land Conservation,26511
